aanval               |      verdediging         
achterin             |      voorin              
achterlangs          |      voorlangs           
alles                |      niets               
altijd               |      nooit               
begin                |      einde               
binnen               |      buiten              
blij                 |      verdrietig          
boos                 |      vrolijk             
boven                |      beneden             
dicht                |      open                
dik                  |      dun                 
dik                  |      mager               
donker               |      licht               
dood                 |      levend              
duidelijk            |      onduidelijk         
duidelijk            |      vaag                
duur                 |      goedkoop            
eb                   |      vloed               
gaar                 |      rauw                
geven                |      nemen               
gevoelig             |      ongevoelig          
goed                 |      fout                
goed                 |      slecht              
goed                 |      verkeerd            
grof                 |      fijn                
helder               |      troebel             
hetzelfde            |      anders              
iedereen             |      niemand             
iets                 |      niets               
ja                   |      nee                 
jong                 |      oud                 
jongen               |      meisje              
kaal                 |      bedekt              
kalm                 |      druk                
kapot                |      heel                
klein                |      groot               
komen                |      gaan                
krom                 |      recht               
laag                 |      hoog                
laat                 |      vroeg               
lang                 |      kort                
langzaam             |      snel                
leeg                 |      vol                 
lekker               |      vies                
links                |      rechts              
mals                 |      taai                
man                  |      vrouw               
mannelijk            |      vrouwelijk          
meestal              |      soms                
modern               |      ouderwets           
moeilijk             |      makkelijk           
mooi                 |      lelijk              
nat                  |      droog               
niets                |      alles               
nodig                |      onnodig             
nooit                |      altijd              
omhoog               |      omlaag              
omlaag               |      omhoog              
onderdoor            |      overheen            
op                   |      af                  
op                   |      onder               
open                 |      dicht               
optellen             |      aftrekken           
oud                  |      nieuw               
overal               |      nergens             
plus                 |      min                 
rechts               |      links               
relatief             |      absoluut            
rijk                 |      arm                 
rijp                 |      onrijp              
rustig               |      druk                
ruw                  |      glad                
saai                 |      spannend            
scherp               |      bot                 
scherp               |      stomp               
schoon               |      vies                
slap                 |      stijf               
smal                 |      breed               
smal                 |      wijd                
soms                 |      steeds              
spits                |      stomp               
spreken              |      zwijgen             
start                |      finish              
sterk                |      slap                
sterk                |      zwak                
stijgen              |      dalen               
strak                |      los                 
strak                |      wijd                
tam                  |      wild                
toename              |      afname              
traag                |      snel                
traag                |      vlug                
uit                  |      aan                 
vaag                 |      scherp              
vaak                 |      zelden              
veel                 |      weinig              
vermenigvuldigen     |      delen               
vers                 |      oud                 
verschillend         |      gelijk              
verweg               |      dichtbij            
vol                  |      leeg                
voor                 |      achter              
voor                 |      na                  
voorruit             |      achterruit          
vooruit              |      achteruit           
vraag                |      antwoord            
vriezen              |      dooien              
warm                 |      koud                
wel                  |      niet                
wenselijk            |      onwenselijk         
winnen               |      verliezen           
wit                  |      zwart               
zacht                |      hard                
zichtbaar            |      onzichtbaar         
ziek                 |      gezond              
