uit                  |      aan                 
relatief             |      absoluut            
voor                 |      achter              
voorruit             |      achterruit          
vooruit              |      achteruit           
op                   |      af                  
toename              |      afname              
optellen             |      aftrekken           
niets                |      alles               
nooit                |      altijd              
hetzelfde            |      anders              
vraag                |      antwoord            
rijk                 |      arm                 
kaal                 |      bedekt              
boven                |      beneden             
scherp               |      bot                 
smal                 |      breed               
binnen               |      buiten              
stijgen              |      dalen               
vermenigvuldigen     |      delen               
open                 |      dicht               
verweg               |      dichtbij            
vriezen              |      dooien              
nat                  |      droog               
kalm                 |      druk                
rustig               |      druk                
dik                  |      dun                 
begin                |      einde               
grof                 |      fijn                
start                |      finish              
goed                 |      fout                
komen                |      gaan                
verschillend         |      gelijk              
ziek                 |      gezond              
ruw                  |      glad                
duur                 |      goedkoop            
klein                |      groot               
zacht                |      hard                
kapot                |      heel                
laag                 |      hoog                
lang                 |      kort                
warm                 |      koud                
vol                  |      leeg                
mooi                 |      lelijk              
dood                 |      levend              
donker               |      licht               
rechts               |      links               
strak                |      los                 
dik                  |      mager               
moeilijk             |      makkelijk           
jongen               |      meisje              
plus                 |      min                 
voor                 |      na                  
ja                   |      nee                 
geven                |      nemen               
overal               |      nergens             
iedereen             |      niemand             
wel                  |      niet                
alles                |      niets               
iets                 |      niets               
oud                  |      nieuw               
altijd               |      nooit               
omlaag               |      omhoog              
omhoog               |      omlaag              
op                   |      onder               
duidelijk            |      onduidelijk         
gevoelig             |      ongevoelig          
nodig                |      onnodig             
rijp                 |      onrijp              
wenselijk            |      onwenselijk         
zichtbaar            |      onzichtbaar         
dicht                |      open                
jong                 |      oud                 
vers                 |      oud                 
modern               |      ouderwets           
onderdoor            |      overheen            
gaar                 |      rauw                
krom                 |      recht               
links                |      rechts              
vaag                 |      scherp              
sterk                |      slap                
goed                 |      slecht              
langzaam             |      snel                
traag                |      snel                
meestal              |      soms                
saai                 |      spannend            
soms                 |      steeds              
slap                 |      stijf               
scherp               |      stomp               
spits                |      stomp               
mals                 |      taai                
helder               |      troebel             
duidelijk            |      vaag                
aanval               |      verdediging         
blij                 |      verdrietig          
goed                 |      verkeerd            
winnen               |      verliezen           
lekker               |      vies                
schoon               |      vies                
eb                   |      vloed               
traag                |      vlug                
leeg                 |      vol                 
achterin             |      voorin              
achterlangs          |      voorlangs           
laat                 |      vroeg               
boos                 |      vrolijk             
man                  |      vrouw               
mannelijk            |      vrouwelijk          
veel                 |      weinig              
smal                 |      wijd                
strak                |      wijd                
tam                  |      wild                
vaak                 |      zelden              
sterk                |      zwak                
wit                  |      zwart               
spreken              |      zwijgen             
